ID,title,artist,top genre,year
451,Mercy,Shawn Mendes,canadian pop,2017
452,Side To Side,Ariana Grande,dance pop,2017
453,Stay,Zedd,complextro,2017
454,It Ain't Me (with Selena Gomez),Kygo,edm,2017
455,Malibu,Miley Cyrus,dance pop,2017
456,Something Just Like This,The Chainsmokers,electropop,2017
457,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017
458,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017
459,My Way,Calvin Harris,dance pop,2017
460,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017
461,Praying,Kesha,dance pop,2017
462,Despacito - Remix,Luis Fonsi,latin,2017
463,The Greatest,Sia,australian dance,2017
464,There for You,Martin Garrix,big room,2017
465,Paris,The Chainsmokers,electropop,2017
466,Crying in the Club,Camila Cabello,dance pop,2017
467,Mama,Jonas Blue,dance pop,2017
468,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017
469,Swish Swish,Katy Perry,dance pop,2017
470,Chained To The Rhythm,Katy Perry,dance pop,2017
471,Cold (feat. Future),Maroon 5,pop,2017
472,Love,Lana Del Rey,art pop,2017
473,Reggaetón Lento (Remix),CNCO,boy band,2017
474,All I Ask,Adele,british soul,2017
475,First Time,Kygo,edm,2017
476,The Cure,Lady Gaga,dance pop,2017
477,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017
478,Bodak Yellow,Cardi B,pop,2017
479,Rich Love (with Seeb),OneRepublic,dance pop,2017
480,Tired,Alan Walker,electro house,2017
481,Came Here for Love,Sigala,dance pop,2017
482,24K Magic,Bruno Mars,pop,2017
483,Strip That Down (feat. Quavo),Liam Payne,dance pop,2017
484,Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017
485,OK - Spotify Version,Robin Schulz,dance pop,2017
486,Bon appétit,Katy Perry,dance pop,2017
487,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017
488,Get Low (with Liam Payne),Zedd,complextro,2017
489,Kissing Strangers,DNCE,dance pop,2017
490,Slow Hands,Niall Horan,dance pop,2017
491,Younger Now,Miley Cyrus,dance pop,2017
492,Body Moves,DNCE,dance pop,2017
493,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017
494,Angel,Fifth Harmony,dance pop,2017
495,Touch (feat. Kid Ink),Little Mix,dance pop,2017
496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017
497,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017
498,No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017
499,Rich Boy,Galantis,big room,2017
500,Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017
501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017
502,Influence,Tove Lo,dance pop,2017
503,Remember I Told You,Nick Jonas,dance pop,2017
504,Messin' Around,Pitbull,dance pop,2017
505,Water Under the Bridge,Adele,british soul,2017
506,Free Me,Sia,australian dance,2017
507,Kissing Strangers - Remix,DNCE,dance pop,2017
