ID,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
567,77,48,58,-6,10,42,213,2,3,57
568,120,55,79,-7,13,23,226,1,5,57
569,110,76,75,-8,20,58,248,0,5,53
570,160,84,58,-5,10,50,190,13,22,52
571,130,59,97,-8,8,27,264,5,26,45
572,102,77,58,-5,9,76,182,5,8,44
573,91,32,76,-7,8,57,189,84,5,99
574,102,34,51,-9,21,9,206,58,4,97
575,110,41,50,-6,11,45,182,75,3,96
576,117,54,76,-6,9,75,191,4,3,95
577,111,68,48,-5,8,35,202,15,9,93
578,98,62,86,-6,9,67,204,15,8,92
579,127,46,62,-6,14,50,184,56,3,92
580,100,79,69,-3,17,67,214,19,5,90
581,158,62,72,-3,12,41,173,11,11,90
582,96,89,67,-3,74,48,159,30,6,90
583,104,68,69,-7,10,40,228,2,3,88
584,94,50,80,-6,6,87,183,11,7,87
585,93,65,64,-8,8,55,198,12,19,86
586,138,73,84,-5,11,95,181,4,6,86
587,99,88,67,-3,8,23,178,30,15,86
588,102,68,80,-5,9,84,220,9,4,85
589,136,40,90,-9,6,35,198,5,13,84
590,122,89,81,-4,8,61,229,2,4,84
591,100,51,53,-8,10,35,210,13,3,83
592,125,86,73,-5,11,52,148,48,3,82
593,125,54,85,-7,13,45,236,57,5,81
594,104,70,59,-6,34,52,218,20,3,81
595,93,45,70,-7,16,14,261,12,15,81
596,152,82,72,-5,36,91,162,13,5,78
597,96,80,84,-4,6,62,213,16,23,77
598,94,87,74,-3,4,61,181,17,5,76
599,104,66,61,-7,20,16,176,1,3,75
